Ticker,Model,Date,Predicted Close,Predicted Open
AAPL,SVM,2025-02-13,239.59,239.59
AAPL,SVM,2025-02-14,244.3,244.3
AAPL,SVM,2025-02-15,246.96,246.96
AAPL,SVM,2025-02-16,248.28,248.28
AAPL,SVM,2025-02-17,248.88,248.88
MSFT,SVM,2025-02-13,160.22,160.22
MSFT,SVM,2025-02-14,160.23,160.23
MSFT,SVM,2025-02-15,160.23,160.23
MSFT,SVM,2025-02-16,160.23,160.23
MSFT,SVM,2025-02-17,160.23,160.23
CSCO,SVM,2025-02-13,79.22,79.22
CSCO,SVM,2025-02-14,86.98,86.98
CSCO,SVM,2025-02-15,92.06,92.06
CSCO,SVM,2025-02-16,95.84,95.84
CSCO,SVM,2025-02-17,98.83,98.83
META,SVM,2025-02-13,160.21,160.21
META,SVM,2025-02-14,160.21,160.21
META,SVM,2025-02-15,160.21,160.21
META,SVM,2025-02-16,160.21,160.21
META,SVM,2025-02-17,160.21,160.21
NVDA,SVM,2025-02-13,130.46,130.46
NVDA,SVM,2025-02-14,135.21,135.21
NVDA,SVM,2025-02-15,139.36,139.36
NVDA,SVM,2025-02-16,142.98,142.98
NVDA,SVM,2025-02-17,146.12,146.12
TSLA,SVM,2025-02-13,163.45,163.45
TSLA,SVM,2025-02-14,162.76,162.76
TSLA,SVM,2025-02-15,162.71,162.71
TSLA,SVM,2025-02-16,162.71,162.71
TSLA,SVM,2025-02-17,162.71,162.71
BABA,SVM,2025-02-13,99.36,99.36
BABA,SVM,2025-02-14,96.34,96.34
BABA,SVM,2025-02-15,93.5,93.5
BABA,SVM,2025-02-16,90.92,90.92
BABA,SVM,2025-02-17,88.67,88.67
AAPL,RF,2025-02-13,232.94,232.94
AAPL,RF,2025-02-14,232.94,232.94
AAPL,RF,2025-02-15,232.94,232.94
AAPL,RF,2025-02-16,232.94,232.94
AAPL,RF,2025-02-17,232.94,232.94
MSFT,RF,2025-02-13,282.55,282.55
MSFT,RF,2025-02-14,266.67,266.67
MSFT,RF,2025-02-15,253.83,253.83
MSFT,RF,2025-02-16,246.76,246.76
MSFT,RF,2025-02-17,233.35,233.35
CSCO,RF,2025-02-13,65.4,65.4
CSCO,RF,2025-02-14,67.55,67.55
CSCO,RF,2025-02-15,69.05,69.05
CSCO,RF,2025-02-16,70.47,70.47
CSCO,RF,2025-02-17,72.32,72.32
META,RF,2025-02-13,282.55,282.55
META,RF,2025-02-14,266.67,266.67
META,RF,2025-02-15,253.83,253.83
META,RF,2025-02-16,246.76,246.76
META,RF,2025-02-17,233.35,233.35
NVDA,RF,2025-02-13,128.85,128.85
NVDA,RF,2025-02-14,133.25,133.25
NVDA,RF,2025-02-15,138.15,138.15
NVDA,RF,2025-02-16,143.61,143.61
NVDA,RF,2025-02-17,147.6,147.6
TSLA,RF,2025-02-13,282.55,282.55
TSLA,RF,2025-02-14,266.67,266.67
TSLA,RF,2025-02-15,253.83,253.83
TSLA,RF,2025-02-16,246.76,246.76
TSLA,RF,2025-02-17,233.35,233.35
BABA,RF,2025-02-13,103.85,103.85
BABA,RF,2025-02-14,108.58,108.58
BABA,RF,2025-02-15,111.12,111.12
BABA,RF,2025-02-16,112.4,112.4
BABA,RF,2025-02-17,111.44,111.44
AAPL,LR,2025-02-13,233.49,233.49
AAPL,LR,2025-02-14,234.55,234.55
AAPL,LR,2025-02-15,235.69,235.69
AAPL,LR,2025-02-16,236.92,236.92
AAPL,LR,2025-02-17,238.25,238.25
MSFT,LR,2025-02-13,410.16,410.16
MSFT,LR,2025-02-14,409.38,409.38
MSFT,LR,2025-02-15,408.54,408.54
MSFT,LR,2025-02-16,407.63,407.63
MSFT,LR,2025-02-17,406.65,406.65
CSCO,LR,2025-02-13,62.65,62.65
CSCO,LR,2025-02-14,63.62,63.62
CSCO,LR,2025-02-15,64.67,64.67
CSCO,LR,2025-02-16,65.81,65.81
CSCO,LR,2025-02-17,67.03,67.03
META,LR,2025-02-13,715.81,715.81
META,LR,2025-02-14,722.9,722.9
META,LR,2025-02-15,730.55,730.55
META,LR,2025-02-16,738.79,738.79
META,LR,2025-02-17,747.68,747.68
NVDA,LR,2025-02-13,127.39,127.39
NVDA,LR,2025-02-14,127.28,127.28
NVDA,LR,2025-02-15,127.17,127.17
NVDA,LR,2025-02-16,127.04,127.04
NVDA,LR,2025-02-17,126.9,126.9
TSLA,LR,2025-02-13,359.85,359.85
TSLA,LR,2025-02-14,356.82,356.82
TSLA,LR,2025-02-15,353.56,353.56
TSLA,LR,2025-02-16,350.05,350.05
TSLA,LR,2025-02-17,346.26,346.26
BABA,LR,2025-02-13,105.81,105.81
BABA,LR,2025-02-14,108.06,108.06
BABA,LR,2025-02-15,110.5,110.5
BABA,LR,2025-02-16,113.12,113.12
BABA,LR,2025-02-17,115.96,115.96
